Event,Time,Fromnode,Tonode,Pkttype,PktSize,.....,Flags,Fid,Srcaddr,Dstaddr,Seqnum,Pktid
r,4.3778,1,2,cbr,1000,-------,2,1.0,0.0,534,7396,
r,4.3858,1,2,cbr,1000,-------,2,1.0,0.0,535,7397,
r,4.3938,1,2,cbr,1000,-------,2,1.0,0.0,536,7398,
r,4.4018,1,2,cbr,1000,-------,2,1.0,0.0,537,7399,
r,4.4098,1,2,cbr,1000,-------,2,1.0,0.0,538,7400,
r,4.4178,1,2,cbr,1000,-------,2,1.0,0.0,539,7401,
r,4.4258,1,2,cbr,1000,-------,2,1.0,0.0,540,7402,
r,4.4338,1,2,cbr,1000,-------,2,1.0,0.0,541,7403,
r,4.4418,1,2,cbr,1000,-------,2,1.0,0.0,542,7404,
r,4.4498,1,2,cbr,1000,-------,2,1.0,0.0,543,7405,
r,4.4578,1,2,cbr,1000,-------,2,1.0,0.0,544,7406,
r,4.4658,1,2,cbr,1000,-------,2,1.0,0.0,545,7407,
r,4.4738,1,2,cbr,1000,-------,2,1.0,0.0,546,7408,
r,4.4818,1,2,cbr,1000,-------,2,1.0,0.0,547,7409,
r,4.4898,1,2,cbr,1000,-------,2,1.0,0.0,548,7410,
r,4.4978,1,2,cbr,1000,-------,2,1.0,0.0,549,7411,
